Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Closed at,Resolution code,Resolution notes
INC100000,Hardware issue for user 378,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,2 - High,Closed,Service Desk,2026-02-28 04:50:00,2026-02-28 10:18:00,2026-02-28 11:18:00,User education,Password reset performed and user confirmed access restored.
INC100001,Network issue for user 17,User reports network problem. Error observed at login. Restart attempted without success.,Network,2 - High,Closed,Service Desk,2026-02-19 15:22:00,2026-02-19 18:34:00,2026-02-19 19:34:00,Resolved by IT,
INC100002,Printer issue for user 280,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Database,2026-02-15 23:57:00,2026-02-16 05:18:00,2026-02-16 06:18:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100003,Access issue for user 389,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Network Ops,2026-01-26 07:43:00,2026-01-29 13:17:00,2026-01-29 14:17:00,User education,Password reset performed and user confirmed access restored.
INC100004,Access issue for user 195,User reports access problem. Error observed at login. Restart attempted without success.,Access,2 - High,Closed,Service Desk,2026-01-26 07:01:00,2026-01-26 15:24:00,2026-01-26 16:24:00,Resolved by caller,Password reset performed and user confirmed access restored.
INC100005,Access issue for user 374,User reports access problem. Error observed at login. Restart attempted without success.,Access,3 - Moderate,Closed,Database,2026-02-24 22:51:00,2026-02-26 03:49:00,2026-02-26 04:49:00,User education,
INC100006,Email issue for user 454,User reports email problem. Error observed at login. Restart attempted without success.,Email,3 - Moderate,Closed,Windows Platform,2026-03-25 22:47:00,2026-03-25 22:12:00,2026-03-25 23:12:00,User education,
INC100007,Hardware issue for user 396,User reports hardware problem. Error observed at login. Restart attempted without success.,Hardware,1 - Critical,Closed,Windows Platform,2026-01-07 07:56:00,2026-01-07 09:46:00,2026-01-07 10:46:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100008,Software issue for user 84,User reports software problem. Error observed at login. Restart attempted without success.,Software,2 - High,Closed,Windows Platform,2026-03-20 20:51:00,2026-03-21 01:39:00,2026-03-21 02:39:00,Resolved by caller,
INC100009,Printer issue for user 332,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Service Desk,2026-01-25 07:13:00,2026-01-27 19:40:00,2026-01-27 20:40:00,User education,Password reset performed and user confirmed access restored.
INC100010,Printer issue for user 353,User reports printer problem. Error observed at login. Restart attempted without success.,Printer,3 - Moderate,Closed,Identity,2026-02-18 14:50:00,2026-02-20 10:08:00,2026-02-20 11:08:00,Resolved by IT,Password reset performed and user confirmed access restored.
INC100011,Access issue for user 118,User reports access problem. Error observed at login. Restart attempted without success.,Access,4 - Low,Closed,Service Desk,2026-03-18 17:14:00,2026-03-25 23:00:00,2026-03-26 00:00:00,Resolved by caller,Password reset performed and user confirmed access restored.
