Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Resolution code,Resolution notes
CHG300000,Firewall rule change in End User Compute,Planned firewall rule change following CAB approval.,Firewall rule,2 - High,Closed,Network Ops,2026-01-06 16:03:00,2026-01-08 07:03:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300001,Release change in Database,Planned release change following CAB approval.,Release,3 - Moderate,Closed,Windows Platform,2026-01-24 18:08:00,2026-01-27 05:08:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300002,Config change in Service Desk,Planned config change following CAB approval.,Config,2 - High,Closed,Network Ops,2026-01-25 18:05:00,2026-01-26 09:05:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300003,Patch change in Network Ops,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Database,2026-01-15 03:29:00,2026-01-16 21:29:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300004,Patch change in Identity,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Network Ops,2026-02-07 00:02:00,2026-02-09 11:02:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300005,Firewall rule change in Windows Platform,Planned firewall rule change following CAB approval.,Firewall rule,1 - Critical,Closed,Service Desk,2026-01-29 01:30:00,2026-01-29 23:30:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300006,Release change in End User Compute,Planned release change following CAB approval.,Release,1 - Critical,Closed,Network Ops,2026-03-15 12:13:00,2026-03-17 07:13:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300007,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,2 - High,Closed,Windows Platform,2026-01-14 12:01:00,2026-01-16 16:01:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300008,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Windows Platform,2026-02-16 17:40:00,2026-02-17 17:40:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300009,Firewall rule change in Database,Planned firewall rule change following CAB approval.,Firewall rule,2 - High,Closed,Service Desk,2026-01-03 19:53:00,2026-01-06 08:53:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300010,Config change in Service Desk,Planned config change following CAB approval.,Config,1 - Critical,Closed,Service Desk,2026-01-10 06:37:00,2026-01-11 12:37:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300011,Config change in Database,Planned config change following CAB approval.,Config,3 - Moderate,Closed,End User Compute,2026-01-12 21:33:00,2026-01-13 09:33:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300012,Release change in Service Desk,Planned release change following CAB approval.,Release,1 - Critical,Closed,Service Desk,2026-02-23 00:06:00,2026-02-24 03:06:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300013,Firewall rule change in Network Ops,Planned firewall rule change following CAB approval.,Firewall rule,1 - Critical,Closed,Windows Platform,2026-03-24 03:31:00,2026-03-24 20:31:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300014,Firewall rule change in Service Desk,Planned firewall rule change following CAB approval.,Firewall rule,2 - High,Closed,Identity,2026-01-04 21:16:00,2026-01-07 06:16:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300015,Firewall rule change in Database,Planned firewall rule change following CAB approval.,Firewall rule,1 - Critical,Closed,Database,2026-03-16 18:59:00,2026-03-19 02:59:00,Successful,Change implemented per plan. Smoke tests passed.
