Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Resolution code,Resolution notes
RITM200000,Account creation for user 484,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-19 01:38:00,2026-03-19 05:38:00,Fulfilled,Request completed as per standard procedure.
RITM200001,Account creation for user 212,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-11 13:43:00,2026-03-13 06:43:00,Fulfilled,Request completed as per standard procedure.
RITM200002,Account creation for user 363,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-01-22 01:34:00,2026-01-22 02:34:00,Fulfilled,Request completed as per standard procedure.
RITM200003,Hardware request for user 192,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-01-20 21:48:00,2026-01-22 13:48:00,Fulfilled,Request completed as per standard procedure.
RITM200004,Hardware request for user 338,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-02-28 01:08:00,2026-02-28 03:08:00,Fulfilled,Request completed as per standard procedure.
RITM200005,Hardware request for user 7,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-01-01 14:26:00,2026-01-03 00:26:00,Fulfilled,Request completed as per standard procedure.
RITM200006,Access request for user 275,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-03-07 17:39:00,2026-03-07 19:39:00,Fulfilled,Request completed as per standard procedure.
RITM200007,Hardware request for user 413,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-02-15 17:06:00,2026-02-16 00:06:00,Fulfilled,Request completed as per standard procedure.
RITM200008,Account creation for user 269,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-25 13:30:00,2026-03-26 05:30:00,Fulfilled,Request completed as per standard procedure.
RITM200009,Access request for user 418,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-01-18 11:16:00,2026-01-19 05:16:00,Fulfilled,Request completed as per standard procedure.
RITM200010,Hardware request for user 41,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-03-14 08:33:00,2026-03-15 10:33:00,Fulfilled,Request completed as per standard procedure.
RITM200011,Software install for user 357,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-02-11 18:41:00,2026-02-12 14:41:00,Fulfilled,Request completed as per standard procedure.
RITM200012,Account creation for user 335,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-04 06:18:00,2026-03-04 09:18:00,Fulfilled,Request completed as per standard procedure.
RITM200013,Hardware request for user 195,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-09 12:15:00,2026-01-11 00:15:00,Fulfilled,Request completed as per standard procedure.
RITM200014,Account creation for user 327,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-02-13 07:50:00,2026-02-15 04:50:00,Fulfilled,Request completed as per standard procedure.
RITM200015,Account creation for user 256,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-16 14:23:00,2026-01-18 08:23:00,Fulfilled,Request completed as per standard procedure.
RITM200016,Access request for user 290,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-03-13 09:29:00,2026-03-14 19:29:00,Fulfilled,Request completed as per standard procedure.
RITM200017,Account creation for user 118,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-25 15:55:00,2026-03-27 12:55:00,Fulfilled,Request completed as per standard procedure.
RITM200018,Hardware request for user 139,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-03-22 18:53:00,2026-03-22 23:53:00,Fulfilled,Request completed as per standard procedure.
RITM200019,Access request for user 461,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-03-04 07:09:00,2026-03-05 20:09:00,Fulfilled,Request completed as per standard procedure.
RITM200020,Account creation for user 92,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-03-01 21:39:00,2026-03-01 23:39:00,Fulfilled,Request completed as per standard procedure.
RITM200021,Software install for user 301,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-03-29 12:21:00,2026-03-31 10:21:00,Fulfilled,Request completed as per standard procedure.
RITM200022,Hardware request for user 476,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-03-16 17:17:00,2026-03-17 13:17:00,Fulfilled,Request completed as per standard procedure.
RITM200023,Software install for user 291,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-01-15 18:52:00,2026-01-17 14:52:00,Fulfilled,Request completed as per standard procedure.
RITM200024,Access request for user 197,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-03-23 14:29:00,2026-03-23 23:29:00,Fulfilled,Request completed as per standard procedure.
